Title,Rating,Video Link,Muscle Group,Equipment
3/4 Sit-Up,8.8,https://www.bodybuilding.com/exercises/detail/view/name/34-sit-up,Abdominals,Body Only
Ab Roller,8.9,https://www.bodybuilding.com/exercises/detail/view/name/ab-roller,Abdominals,Other
Advanced Kettlebell Windmill,8.3,https://www.bodybuilding.com/exercises/detail/view/name/advanced-kettlebell-windmill,Abdominals,Kettlebells
Air Bike,8.8,https://www.bodybuilding.com/exercises/detail/view/name/air-bike,Abdominals,Body Only
Alien Squat,8.2,https://www.bodybuilding.com/exercises/detail/view/name/alien-squat,Quadriceps,Body Only
Alternate Hammer Curl,8.6,https://www.bodybuilding.com/exercises/detail/view/name/alternate-hammer-curl,Biceps,Dumbbell
Alternate Incline Dumbbell Curl,8.7,https://www.bodybuilding.com/exercises/detail/view/name/alternate-incline-dumbbell-curl,Biceps,Dumbbell
Alternating Deltoid Raise,9,https://www.bodybuilding.com/exercises/detail/view/name/alternating-deltoid-raise,Shoulders,Dumbbell
Alternating Kettlebell Press,8.6,https://www.bodybuilding.com/exercises/detail/view/name/alternating-kettlebell-press,Shoulders,Kettlebells
Alternating Renegade Row,8.5,https://www.bodybuilding.com/exercises/detail/view/name/alternating-renegade-row,Middle Back,Kettlebells
Anti-Gravity Press,8.2,https://www.bodybuilding.com/exercises/detail/view/name/anti-gravity-press,Shoulders,Barbell
Arnold Dumbbell Press,8.9,https://www.bodybuilding.com/exercises/detail/view/name/arnold-dumbbell-press,Shoulders,Dumbbell
Atlas Stones,9.5,https://www.bodybuilding.com/exercises/detail/view/name/atlas-stones,Lower Back,Other
Axle Deadlift,9.1,https://www.bodybuilding.com/exercises/detail/view/name/axle-deadlift,Lower Back,Other
Back Flyes - With Bands,8.1,https://www.bodybuilding.com/exercises/detail/view/name/back-flyes-with-bands,Shoulders,Bands
Ball Leg Curl,8.8,https://www.bodybuilding.com/exercises/detail/view/name/ball-leg-curl,Hamstrings,Exercise Ball
Band Good Morning (Pull Through),8.3,https://www.bodybuilding.com/exercises/detail/view/name/band-good-morning-pull-through,Hamstrings,Bands
Band Hip Adductions,8.6,https://www.bodybuilding.com/exercises/detail/view/name/band-hip-adductions,Adductors,Bands
Band Pull Apart,8.2,https://www.bodybuilding.com/exercises/detail/view/name/band-pull-apart,Shoulders,Bands
Band Skull Crusher,8.4,https://www.bodybuilding.com/exercises/detail/view/name/band-skull-crusher,Triceps,Bands
Barbell Ab Rollout,8.9,https://www.bodybuilding.com/exercises/detail/view/name/barbell-ab-rollout,Abdominals,Barbell
Barbell Ab Rollout - On Knees,8.9,https://www.bodybuilding.com/exercises/detail/view/name/barbell-ab-rollout-on-knees,Abdominals,Barbell
Barbell Bench Press - Medium Grip,9,https://www.bodybuilding.com/exercises/detail/view/name/barbell-bench-press-medium-grip,Chest,Barbell
Barbell Curl,9,https://www.bodybuilding.com/exercises/detail/view/name/barbell-curl,Biceps,Barbell
Barbell Curls Lying Against An Incline,8.8,https://www.bodybuilding.com/exercises/detail/view/name/barbell-curls-lying-against-an-incline,Biceps,Barbell
Barbell Deadlift,9.4,https://www.bodybuilding.com/exercises/detail/view/name/barbell-deadlift,Hamstrings,Barbell
Barbell Full Squat,9.4,https://www.bodybuilding.com/exercises/detail/view/name/barbell-full-squat,Quadriceps,Barbell
Barbell Glute Bridge,9.4,https://www.bodybuilding.com/exercises/detail/view/name/barbell-glute-bridge,Glutes,Barbell
Barbell Hack Squat,8.5,https://www.bodybuilding.com/exercises/detail/view/name/barbell-hack-squat,Quadriceps,Barbell
Barbell Hip Thrust,9.1,https://www.bodybuilding.com/exercises/detail/view/name/barbell-hip-thrust,Glutes,Barbell
Barbell Incline Bench Press Medium-Grip,8.8,https://www.bodybuilding.com/exercises/detail/view/name/barbell-incline-bench-press-medium-grip,Chest,Barbell
Barbell Lunge,8.8,https://www.bodybuilding.com/exercises/detail/view/name/barbell-lunge,Quadriceps,Barbell
Barbell Rear Delt Row,8.5,https://www.bodybuilding.com/exercises/detail/view/name/barbell-rear-delt-row,Shoulders,Barbell
Barbell Rollout from Bench,8.3,https://www.bodybuilding.com/exercises/detail/view/name/barbell-rollout-from-bench,Abdominals,Barbell
Barbell Shoulder Press,8.7,https://www.bodybuilding.com/exercises/detail/view/name/barbell-shoulder-press,Shoulders,Barbell
Barbell Shrug,8.4,https://www.bodybuilding.com/exercises/detail/view/name/barbell-shrug,Traps,Barbell
Barbell Shrug Behind The Back,8.3,https://www.bodybuilding.com/exercises/detail/view/name/barbell-shrug-behind-the-back,Traps,Barbell
Barbell Squat,8.9,https://www.bodybuilding.com/exercises/detail/view/name/barbell-squat,Quadriceps,Barbell
Barbell Step Ups,8.7,https://www.bodybuilding.com/exercises/detail/view/name/barbell-step-ups,Quadriceps,Barbell
Barbell Thruster,8.3,https://www.bodybuilding.com/exercises/detail/view/name/barbell-thruster,Quadriceps,Barbell
Barbell Walking Lunge,9.2,https://www.bodybuilding.com/exercises/detail/view/name/barbell-walking-lunge,Quadriceps,Barbell
Battling Ropes,8.6,https://www.bodybuilding.com/exercises/detail/view/name/battling-ropes,Shoulders,Other
Bear Crawl Sled Drags,9,https://www.bodybuilding.com/exercises/detail/view/name/bear-crawl-sled-drags-,Quadriceps,Other
